altitude,co,co_aux,co_working,gas_temp,gps_fix,heading,humidity,latitude,lonet_bat,longitude,no2,no2_aux,no2_working,pm1,pm10,pm2_5,w_pm1,w_pm10,w_pm2_5,sample_flow_rate,sampling_period,speed,temp,date,retries,timestamp,id,last_organicity_sync
58.3,798.40179,354.5,467.3,258.2,1,34,37.8,51.522766,87,-0.154557,520.71326,393.2,415.7,0.389,7.743,4.835,0,0,0,0.663,39.324,0.02,5.9,20170117235951,0,2017-01-17 23:59:59.51549+00,1,
57.5,765.68451,357.7,460.8,255,1,303.1,38.2,51.522751,84,-0.154593,506.57895,396.4,412.5,0.771,16.211,8.971,0,0,0,0.663,38.861,0.04,5.9,20170117235911,0,2017-01-17 23:59:20.091959+00,1,
54,880.19513,351.3,483.4,255,1,195.6,38.1,51.522758,84,-0.154643,534.84784,396.4,418.9,0.489,25.113,7.452,0,0,0,0.663,38.886,0.39,5.9,20170117235833,0,2017-01-17 23:58:40.518566+00,1,
56,863.8363,351.3,480.2,258.2,1,174.8,38,51.522812,91,-0.154627,506.57895,396.4,412.5,0.497,28.085,8.148,0,0,0,0.663,40.908,0.5,5.9,20170117235754,0,2017-01-17 23:58:01.436715+00,1,
65.7,978.34711,348,502.7,258.2,1,232.2,38,51.522835,87,-0.154625,506.57895,396.4,412.5,0.468,27.539,7.728,0,0,0,0.663,38.995,0.44,5.9,20170117235713,0,2017-01-17 23:57:21.282741+00,1,
72.2,1518.183,348,609.1,258.2,1,350.7,37.4,51.52285,84,-0.154555,506.57895,393.2,412.5,0.645,38.38,11.544,0,0,0,0.663,40.029,0.06,5.9,20170117235634,0,2017-01-17 23:56:41.753222+00,1,
73.1,847.47778,351.3,477,255,1,216.9,37.7,51.522854,92,-0.154563,506.57895,389.9,412.5,0.704,13.66,8.496,0,0,0,0.663,39.432,0.04,6,20170117235553,0,2017-01-17 23:56:02.289554+00,1,
65.8,814.7605,341.6,470.5,251.8,1,110.3,37.3,51.522919,85,-0.154682,478.31003,396.4,406.1,0.713,18.855,8.844,0,0,0,0.663,39.12,0.11,5.9,20170117235514,0,2017-01-17 23:55:22.661822+00,1,
60.6,929.27112,354.5,493.1,255,1,115.5,37.2,51.522907,93,-0.15487,506.57895,399.6,412.5,0.698,24.343,8.25,0,0,0,0.663,39.808,0.19,6,20170117235435,0,2017-01-17 23:54:43.118482+00,1,
62,782.04303,357.7,464.1,255,1,303.7,37.7,51.522896,88,-0.15487,478.31003,399.6,406.1,0.674,18.17,9.026,0,0,0,0.663,39.426,0.06,6.1,20170117235355,0,2017-01-17 23:54:03.813104+00,1,
61.5,782.04303,348,464.1,255,1,157.9,37.9,51.522903,89,-0.154873,520.71326,396.4,415.7,0.709,29.652,8.908,0,0,0,0.663,39.202,0.07,6.1,20170117235315,0,2017-01-17 23:53:24.111296+00,1,
59.4,880.19513,354.5,483.4,258.2,1,207.7,37.6,51.522934,84,-0.15491,506.57895,396.4,412.5,0.837,18.46,8.736,0,0,0,0.663,41.624,0.17,6.1,20170117235236,0,2017-01-17 23:52:44.559463+00,1,
56.4,831.11914,354.5,473.7,255,1,219.2,37.5,51.522942,85,-0.154892,520.71326,399.6,415.7,1.019,30.682,10.531,0,0,0,0.663,39.509,0.06,6.1,20170117235154,0,2017-01-17 23:52:03.171054+00,1,
48.2,961.98846,351.3,499.5,255,1,212.3,37.9,51.522964,85,-0.154845,492.44449,396.4,409.3,0.687,13.253,8.059,0,0,0,0.663,39.322,0.09,6.2,20170117235115,0,2017-01-17 23:51:23.718559+00,1,
40.2,765.68451,354.5,460.8,255,1,243.2,38.5,51.52301,84,-0.154868,492.44449,393.2,409.3,0.699,39.724,9.995,0,0,0,0.663,39.304,0.02,6.1,20170117235036,0,2017-01-17 23:50:44.226496+00,1,
