CO_MAIN,CO_AUX,NO2_MAIN,NO2_AUX,GAS_TEMP,MICS_CO,MICS_NO2,MICS_HN3
181,331,229,205,264,1356,1209,1716
174,326,233,208,259,1372,1214,1720
175,326,235,212,259,1362,1214,1718
172,327,234,213,259,1355,1213,1720
174,326,235,213,259,1349,1214,1719
173,326,233,206,259,1343,1215,1718
179,326,234,210,259,1342,1218,1717
174,326,235,211,259,1343,1216,1720
179,328,235,213,259,1342,1218,1717
180,329,235,210,259,1342,1218,1720
172,326,235,207,259,1344,1218,1718
177,325,231,210,259,1342,1221,1720
177,323,235,210,264,1343,1219,1719
180,326,230,205,264,1343,1222,1717
178,327,235,212,259,1343,1219,1719
175,326,235,207,259,1343,1220,1719
172,322,233,203,259,1341,1222,1719
175,328,230,205,259,1339,1222,1720
172,326,231,206,259,1337,1223,1717
171,323,232,209,259,1339,1222,1719
172,325,230,198,259,1338,1222,1719
172,323,234,210,259,1338,1222,1719
173,323,236,210,259,1338,1221,1721
173,322,232,206,259,1332,1222,1717
176,323,232,208,259,1330,1226,1718
174,322,232,210,259,1330,1222,1719
173,324,234,209,259,1330,1224,1719
172,321,236,214,259,1330,1223,1719
175,322,233,210,259,1330,1224,1719
176,326,232,214,259,1330,1226,1716
172,322,234,212,259,1331,1226,1719
176,326,235,214,259,1330,1225,1719
172,322,235,209,259,1331,1226,1718
172,322,234,209,259,1330,1226,1718
177,324,234,210,259,1330,1227,1716
172,322,237,209,259,1332,1227,1718
172,323,238,215,259,1334,1225,1719
172,322,235,209,259,1333,1226,1717
177,323,239,208,259,1333,1229,1717
174,322,235,210,259,1334,1227,1719
172,321,234,210,259,1334,1227,1718
174,321,235,206,259,1332,1227,1717
173,320,236,209,259,1334,1226,1719
175,322,235,212,259,1331,1230,1716
172,321,232,206,264,1330,1228,1716
174,322,234,207,259,1334,1228,1717
178,326,234,207,259,1334,1229,1716
173,320,237,208,259,1334,1228,1719
173,320,234,212,259,1330,1230,1716
174,321,239,208,259,1335,1229,1718
172,318,230,201,259,1335,1231,1719
172,322,230,210,259,1333,1230,1718
171,322,233,206,259,1334,1230,1718
173,321,232,203,259,1334,1228,1718
176,324,232,209,259,1334,1231,1716
172,320,235,210,259,1332,1230,1718
174,318,235,207,259,1335,1231,1718
176,321,235,208,259,1334,1231,1716
174,319,234,206,259,1332,1231,1718
171,320,234,205,259,1335,1230,1718
172,317,232,206,259,1335,1231,1717
172,319,230,205,259,1335,1231,1719
175,318,230,210,259,1335,1232,1717
174,320,237,210,259,1337,1231,1718
175,319,233,208,259,1335,1232,1716
170,318,232,207,259,1336,1231,1718
176,321,233,212,259,1335,1234,1716
180,321,230,209,259,1335,1234,1715
170,316,232,206,259,1337,1231,1717
170,318,233,206,259,1337,1229,1717
170,319,234,208,259,1336,1232,1717
172,318,234,209,259,1337,1234,1719
174,318,239,206,264,1336,1233,1718
171,318,235,208,259,1338,1232,1719
169,319,235,208,259,1338,1232,1719
173,320,233,208,259,1337,1233,1718
169,320,234,206,259,1335,1232,1717
172,319,233,208,259,1337,1233,1719
176,318,236,206,264,1338,1236,1718
175,319,238,206,264,1338,1238,1718
176,321,239,208,259,1337,1235,1717
171,318,233,205,259,1336,1234,1717
176,321,231,206,259,1338,1235,1719
175,321,232,211,259,1336,1236,1718
175,320,235,212,259,1335,1236,1718
176,321,239,209,259,1336,1236,1718
174,318,233,208,259,1337,1237,1716
173,318,230,210,259,1335,1236,1716
171,317,234,211,259,1336,1233,1718
170,317,235,211,259,1336,1235,1718
173,319,237,212,259,1337,1238,1717
171,315,237,211,259,1336,1235,1718
174,317,234,208,259,1335,1236,1716
171,318,234,210,259,1337,1236,1718
171,318,235,208,259,1335,1235,1718
173,318,234,212,259,1335,1237,1716
171,316,235,214,259,1337,1235,1718
176,319,235,210,259,1336,1238,1716
171,318,233,208,259,1338,1235,1718
169,317,233,208,259,1338,1236,1719
174,319,231,207,259,1336,1239,1716
172,318,234,209,259,1336,1235,1716
174,321,230,208,259,1337,1238,1716
168,316,235,207,259,1336,1235,1719
172,318,235,210,259,1337,1238,1716
168,316,235,209,259,1338,1237,1719
169,316,235,207,259,1337,1236,1717
174,318,234,208,259,1336,1238,1716
171,318,230,209,259,1339,1236,1718
174,318,231,210,259,1335,1238,1716
169,317,233,210,259,1338,1237,1718
169,317,233,206,259,1337,1236,1717
171,318,231,210,259,1337,1239,1716
170,316,230,204,259,1339,1237,1718
172,318,230,208,259,1336,1239,1716
168,317,231,207,259,1338,1236,1717
168,318,231,204,259,1338,1237,1719
172,319,228,206,264,1337,1239,1716
172,319,231,210,259,1339,1237,1720
175,320,231,208,259,1339,1239,1718
171,318,235,206,259,1340,1239,1717
166,315,235,207,259,1339,1239,1719
169,318,235,208,259,1339,1239,1719
173,321,239,210,259,1338,1241,1717
168,318,236,210,259,1339,1239,1718
165,316,234,207,259,1339,1239,1719
169,318,233,203,259,1339,1239,1718
169,318,231,211,259,1339,1240,1716
171,321,231,208,259,1338,1240,1716
168,318,235,207,259,1339,1239,1718
171,322,232,210,259,1336,1241,1716
168,318,232,203,260,1339,1240,1718
169,318,232,207,259,1339,1239,1719
172,318,234,206,264,1336,1239,1716
166,317,234,205,259,1339,1240,1719
170,320,234,205,259,1336,1239,1718
169,317,232,203,259,1338,1239,1718
166,317,233,204,258,1338,1239,1718
168,315,232,204,259,1339,1239,1718
168,318,234,204,259,1338,1239,1718
172,318,235,205,259,1335,1242,1716
171,319,235,203,259,1339,1240,1717
170,318,230,202,259,1337,1240,1716
