,altitude,gas_temp,gps_fix,heading,humidity,latitude,lonet_bat,longitude,pm1,pm10,pm2_5,w_pm1,w_pm10,w_pm2_5,sample_flow_rate,sampling_period,speed,temp,date,retries,timestamp,id,last_organicity_sync,raw_CO_working,raw_CO_aux,raw_NO2_working,raw_NO2_aux
2141,0.0,32.7,0.0,3.0,50.0,0.89,93.0,86.400002,0.538,2.592,2.383,0.0,0.0,0.0,3.7,11.475,12.0,7.2,20170117102631,0,2017-01-17 10:26:36.710895,1,,155.989333333,113.012363636,126.014060606,123.004121212
2140,0.0,258.2,0.0,3.0,51.1,0.39,96.0,69.599998,0.827,9.347,4.052,0.0,0.0,0.0,1.042,37.045,12.0,6.9,20170117102707,0,2017-01-17 10:27:15.384817,1,,141.00169697,107.985454545,127.007030303,123.004121212
2139,75.0,255.0,1.0,152.1,50.4,51.522846,92.0,-0.15468,4.072,23.854,10.971,0.0,0.0,0.0,0.767,38.685,0.31,6.9,20170117102746,0,2017-01-17 10:27:55.411865,1,2017-01-17 10:28:01.439488+00,163.002181818,110.995393939,128.0,123.004121212
2138,81.3,255.0,1.0,249.4,50.7,51.522865,94.0,-0.15471,1.905,18.573,10.469,0.0,0.0,0.0,0.794,46.009,0.26,6.8,20170117102832,0,2017-01-17 10:28:40.130419,1,2017-01-17 10:28:42.313629+00,141.00169697,106.992484848,128.992969697,123.004121212
2137,81.0,258.2,1.0,285.7,50.7,51.522888,93.0,-0.154737,1.883,25.392,9.259,0.0,0.0,0.0,0.786,40.864,0.28,6.8,20170117102913,0,2017-01-17 10:29:21.519938,1,2017-01-17 10:29:27.297627+00,141.994666667,107.985454545,128.992969697,123.004121212
2136,79.1,258.2,1.0,283.8,50.8,51.522919,92.0,-0.154772,1.744,20.582,10.725,0.0,0.0,0.0,0.795,45.503,0.15,6.9,20170117102959,0,2017-01-17 10:30:08.015018,1,2017-01-17 10:30:10.340143+00,149.007515152,109.009454545,128.992969697,123.004121212
2135,78.6,258.2,1.0,340.9,50.2,51.522934,100.0,-0.154808,1.042,15.665,8.302,0.0,0.0,0.0,0.919,42.262,0.35,6.8,20170117103041,0,2017-01-17 10:30:50.643162,1,2017-01-17 10:30:52.320853+00,138.984727273,106.992484848,126.014060606,122.011151515
2134,78.2,258.2,1.0,141.4,49.5,51.522907,96.0,-0.154805,1.292,14.902,7.501,0.0,0.0,0.0,0.843,41.706,0.5,6.8,20170117103123,0,2017-01-17 10:31:32.004767,1,2017-01-17 10:31:34.620159+00,138.984727273,107.985454545,128.0,123.004121212
2133,77.8,258.2,1.0,69.2,49.7,51.522881,93.0,-0.154773,1.764,22.927,10.616,0.0,0.0,0.0,0.772,42.163,0.07,6.9,20170117103205,0,2017-01-17 10:32:12.893853,1,2017-01-17 10:32:16.980686+00,138.984727273,109.009454545,128.0,123.004121212
2132,73.9,258.2,1.0,313.0,50.1,51.5229,98.0,-0.154768,1.44,30.895,10.797,0.0,0.0,0.0,0.842,44.604,0.37,6.9,20170117103250,0,2017-01-17 10:32:58.054938,1,2017-01-17 10:32:59.965719+00,136.005818182,107.985454545,128.0,122.011151515
2131,72.6,258.2,1.0,167.8,50.2,51.522896,94.0,-0.154798,1.999,22.269,10.494,0.0,0.0,0.0,0.823,40.969,0.44,7.0,20170117103331,0,2017-01-17 10:33:39.533072,1,,150.000484848,107.985454545,128.0,122.011151515
2130,71.7,258.2,1.0,175.9,50.2,51.522881,100.0,-0.15481,1.504,18.512,10.035,0.0,0.0,0.0,0.822,41.882,0.81,7.1,20170117103413,0,2017-01-17 10:34:20.937947,1,,145.004606061,107.985454545,128.0,123.004121212
2129,71.1,255.0,1.0,325.0,50.1,51.522846,94.0,-0.154788,1.867,26.554,9.924,0.0,0.0,0.0,0.818,38.988,0.85,7.1,20170117103452,0,2017-01-17 10:35:00.579613,1,,145.997575758,109.009454545,127.007030303,123.004121212
